District,Code,Party,Incumbent Name,,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2018 Incumbent,2016 President,,2012 President,,2008 President,,2018 US House,,2016 US House,,2014 US House,,2012 Two-Party,,2014-2018 ACS Citizen Adult Population,,,,,,2010 Census Adult Population by Race,,,,,,2014-2018 ACS Educational Attainment Among Adults 25+ and Median Household Income,,,,,,,,,,Non-College White Share,2013-2022 House Specials,,,,2016 President,,,2012 President,,,2008 President,,,2018 House,,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,Special Elections,,,,ACS Citizen Population (Includes Latinos of Any Race),,,,,,,ACS Citizen Voting Age Population (Includes Latinos of Any Race),,,,,,,2010 Census Total Population (Includes Latinos of Any Race),,,,,,,2010 Census Voting Age Population (Includes Latinos of Any Race),,,,,,,2018 5-Year ACS Educational Attainment,,,,,2018 5-Year ACS White Educational Attainment,,,,
,,,First,Last,Phonetic,IPA,,,,,,,,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,Rep,Dem,Rep,Dem,Rep,Dem,Rep,White,Black,Latino,Asian and Pacific Islander,Native,Other,White,Black,Latino,Asian and Pacific Islander,Native,Other,High School or Greater,HS Rank,Bachelor's Degree or Higher,BA Rank (Bachelor's Degree Share),White BA (Bachelor's Degree or Higher Among Whites Only),White BA Rank (Bachelor's Degree Share),Median Income,Income Rank,White Income,White Rank,,Date,Dem,Rep,,Total,Clinton,Trump,Total,Obama,Romney,Total,Obama,McCain,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Total,Dem,Rep,Other,Dem,Rep,Total,Dem,Rep,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,White,Black,Latino,Asian and Pacific Islander,Native American,Other,Total,< High School,High School,Some College,College,Total,< High School,High School,Some College,College
Arkansas' 2nd,AR-02,Republican,French,Hill,(FRENCH HIL),/fɹɛntʃ hɪl/,2014,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,41.7,52.4,42.9,54.7,44.3,53.8,45.8,52.1,36.8,58.3,43.6,51.9,41.7,58.3,73.1,21.7,2.4,1.0,0.3,1.5,73.4,19.6,4.0,1.4,0.4,1.1 ,89.7 ,189 ,29.6 ,214 ,32.3 ,237 ,"$50,929",329,"$57,617",311,49.4,,,,19,"306,974","127,883","160,782","292,515","125,527","160,140","293,250","129,888","157,732","253,453","116,135","132,125","5,193","302,464","111,347","176,472","14,645","237,330","103,477","123,073","10,780","113,156","158,175",,,,,"740,140","515,585","170,230","28,095","8,120","2,095","16,010","563,785","411,875","122,380","13,590","5,750","1,685","8,505","729,192","512,941","155,352","35,048","10,421","3,117","12,313","553,609","406,362","108,270","22,315","7,972","2,387","6,303","507,355","52,170","152,348","152,610","150,227","367,453","30,835","110,495","107,319","118,804"
Arkansas' 3rd,AR-03,Republican,Steve,Womack,(STEEV WOH-mak),/stiv 'woʊ.mæk/,2010,1957,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,30.5,61.9,31.6,65.5,33.9,63.9,32.6,64.7,0.0,77.3,0.0,79.4,0.0,100.0,85.0,3.0,6.8,2.0,1.1,2.1,81.8,2.4,10.0,2.9,1.3,1.6 ,85.9 ,320 ,27.3 ,255 ,29.1 ,286 ,"$50,554",332,"$52,593",381,60.2,,,,20,"292,163","89,081","180,921","257,668","81,413","168,703","253,566","85,866","161,902","229,708","74,952","148,717","6,039","280,907",0,"217,192","63,715","190,935",0,"151,630","39,305",0,"186,467",,,,,"744,235","596,105","23,390","78,450","18,125","8,150","20,025","550,215","467,785","16,310","37,235","11,275","6,255","11,360","728,959","569,478","18,752","92,851","22,190","9,591","16,097","541,997","443,612","13,066","54,056","15,601","6,814","8,848","513,369","72,256","155,278","145,918","139,917","411,159","38,442","127,630","125,264","119,823"
Arkansas' 4th,AR-04,Republican,Bruce,Westerman,(BROOS WES-ter-muhn),/bɹus 'wɛ.stəɹ.mən/,2014,1967,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Won,31.3,64.2,35.9,61.8,37.4,59.9,31.2,66.7,0.0,74.9,42.6,53.7,38.1,61.9,76.1,19.1,2.5,0.5,0.7,1.2,75.4,18.3,4.0,0.6,0.6,1.0 ,84.7 ,344 ,16.6 ,416 ,18.0 ,425 ,"$40,937",420,"$45,565",425,62.4,,,,21,"270,781","84,842","173,731","265,825","95,383","164,352","277,684","103,886","166,465","204,892","63,984","136,740","4,168","244,159",0,"182,885","61,274","206,131","87,742","110,789","7,600","95,013","154,149",,,,,"695,870","508,195","137,715","30,000","3,510","4,780","11,665","535,460","407,495","102,030","13,310","2,580","3,575","6,470","729,002","529,923","141,313","37,849","4,729","4,634","10,554","555,814","419,039","101,917","22,266","3,434","3,444","5,714","485,396","74,048","185,028","145,818","80,502","367,527","46,905","141,752","112,588","66,282"
California's 1st,CA-01,Republican,Doug,LaMalfa,(DUHG luh-MAL-fuh),/dʌg lə.'mæl.fə/,2012,1960,Man,White - Non-Hispanic,Christian - Protestant,No,Won,36.5,56.2,40.3,56.6,41.8,53.0,45.1,54.9,40.9,59.1,39.0,61.0,42.6,57.4,81.9,1.6,9.8,2.3,1.5,2.8,82.1,1.3,9.9,2.3,1.8,2.6 ,90.1 ,165 ,24.4 ,307 ,26.0 ,338 ,"$51,104",324,"$52,934",375,60.6,,,,22,"313,968","114,727","176,358","303,928","122,379","171,902",100,41.8,53.0,"291,594","131,548","160,046",0,"314,036","128,588","185,448",0,"216,372","84,320","132,052",0,"125,386","168,827",,,,,"684,595","539,430","10,340","82,745","16,795","10,645","24,645","545,540","447,070","8,925","53,440","12,600","8,295","15,200","704,304","556,527","9,075","84,890","17,617","13,263","22,932","555,171","455,854","7,455","55,094","12,852","9,745","14,171","496,590","49,320","121,519","204,660","121,091","404,733","28,395","98,957","172,031","105,350"
California's 2nd,CA-02,Democratic,Jared,Huffman,(JAIR-ed HUHF-muhn),/'dʒɛ.ɹɛd 'hʌf.mən/,2012,1964,Man,White - Non-Hispanic,Unknown/Refused,No,Won,69.0,23.3,69.0,27.0,71.4,25.4,77.0,23.0,76.9,23.1,75.0,25.0,71.2,28.8,79.9,1.6,10.2,3.5,1.8,3.0,76.2,1.7,14.1,3.6,1.9,2.5 ,90.6 ,141 ,41.5 ,69 ,46.4 ,85 ,"$72,596",99,"$77,205",122,42.8,,,,23,"344,971","238,157","80,545","333,442","230,212","89,908",100,71.4,25.4,"315,657","243,081","72,576",0,"330,766","254,194","76,572",0,"217,524","163,124","54,400",0,"226,216","91,310",,,,,"665,070","502,755","9,760","90,320","22,995","12,250","26,990","526,770","420,940","8,220","53,585","18,615","9,390","16,025","701,504","510,654","11,090","116,747","24,899","14,751","23,363","554,173","422,538","9,268","78,130","19,890","10,399","13,948","516,856","48,676","93,013","160,444","214,723","394,518","18,603","67,156","125,516","183,243"
California's 3rd,CA-03,Democratic,John,Garamendi,(JAHN gair-uh-MEN-dee),/dʒɑn ˌgɛ.ɹə.'mɛn.di/,2009 Special,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Won,53.0,40.4,54.3,43.1,54.9,42.3,58.1,41.9,59.4,40.6,52.7,47.3,54.2,45.8,57.0,6.9,20.9,10.9,0.7,3.6,55.1,6.0,23.6,11.2,0.9,3.3 ,84.1 ,355 ,25.4 ,290 ,29.4 ,283 ,"$64,891",156,"$69,482",187,40.2,,,,24,"262,086","138,882","105,860","241,687","131,237","104,145",100,54.9,42.3,"232,251","134,875","97,376",0,"256,966","152,513","104,453",0,"150,260","79,224","71,036",0,"126,882","107,086",,,,,"666,230","345,515","42,200","174,840","68,535","4,710","30,430","497,300","283,470","34,130","104,090","53,960","3,715","17,935","702,044","356,604","40,957","194,579","73,565","6,199","30,140","525,021","289,176","31,514","123,713","58,628","4,659","17,331","473,270","75,064","110,756","167,468","119,982","253,188","18,462","60,017","100,246","74,463"
California's 4th,CA-04,Republican,Tom,McClintock,(TAHM mu-KLIN-tahk),/tɑm mə.'klɪn.tɑk/,2008,1956,Man,White - Non-Hispanic,Christian - Baptist,No,Won,39.3,54.0,39.5,57.9,42.9,54.2,45.9,54.1,37.3,62.7,0.0,100.0,38.9,61.1,80.8,1.3,10.2,4.4,0.7,2.6,81.0,1.2,10.4,4.0,1.0,2.3 ,93.1 ,42 ,33.3 ,153 ,34.0 ,213 ,"$75,935",75,"$76,095",135,53.3,,,,25,"353,388","138,790","190,924","337,634","133,473","195,386",100,42.9,54.2,"340,654","156,253","184,401",0,"350,978","130,845","220,133",0,"211,134",0,"211,134",0,"125,885","197,803",,,,,"707,515","549,095","9,050","87,445","32,395","5,085","24,445","555,490","448,800","7,330","56,545","24,490","3,790","14,535","701,728","548,837","8,267","86,784","28,965","7,314","21,561","543,649","440,426","6,626","56,547","21,935","5,584","12,531","528,068","36,418","111,864","203,939","175,847","419,873","20,040","88,846","168,300","142,687"
California's 5th,CA-05,Democratic,Mike,Thompson,(MAHYK TAHMP-suhn),/maɪk 'tɑmp.sən/,1998,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,69.2,24.3,69.7,27.5,70.4,26.2,78.9,0.0,76.9,23.1,75.7,0.0,74.5,25.5,60.5,6.8,17.7,11.3,0.5,3.3,57.8,6.2,21.5,11.3,0.6,2.6 ,87.4 ,277 ,31.7 ,172 ,38.3 ,159 ,"$75,524",78,"$79,811",108,37.3,,,,26,"305,052","210,950","74,088","286,658","199,924","78,703",100,70.4,26.2,"261,018","205,860",0,"55,158","292,091","224,526","67,565",0,"171,148","129,613",0,"41,535","202,872","69,545",,,,,"655,385","357,130","44,350","153,825","69,765","3,045","27,270","508,535","307,655","34,585","90,035","57,235","2,485","16,535","706,154","373,331","45,269","181,046","77,273","4,349","24,886","547,233","316,081","34,010","117,611","61,790","3,388","14,353","510,708","64,212","104,144","180,292","162,060","287,333","13,377","55,498","108,331","110,127"
California's 6th,CA-06,Democratic,Doris,Matsui,(DAWR-is mat-SOO-ee),/'dɔ.ɹɪs mæt.'su.i/,2005 Special,1944,Woman,Asian - Japanese,Christian - Methodist,No,Won,69.2,24.4,69.1,28.3,67.6,29.3,100.0,0.0,75.4,24.6,72.7,27.3,75.1,24.9,44.5,14.0,21.1,16.2,0.5,3.7,43.7,12.1,23.3,16.4,0.6,3.7 ,84.3 ,349 ,28.5 ,232 ,37.1 ,176 ,"$54,819",263,"$63,723",239,28.0,,,,27,"243,910","168,687","59,549","225,831","156,141","63,862",100,67.6,29.3,"201,939","201,939",0,0,"235,413","177,565","57,848",0,"133,456","97,008","36,448",0,"160,667","53,406",,,,,"667,230","263,440","91,320","171,320","105,355","2,635","33,155","490,565","218,270","68,805","103,620","79,460","2,290","18,125","702,413","272,613","88,367","189,643","113,647","4,236","33,907","520,901","227,625","63,260","121,584","85,552","3,357","19,523","492,979","77,227","115,629","159,644","140,479","209,403","14,110","45,969","71,724","77,600"
California's 7th,CA-07,Democratic,Ami,Bera,(AH-mee BAIR-uh),/'ɑ.mi 'bɛ.ɹə/,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Won,52.3,40.9,50.8,46.8,51.4,45.9,55.0,45.0,51.2,48.8,50.4,49.6,51.7,48.3,59.9,7.5,13.9,14.5,0.4,3.7,61.4,7.0,13.6,14.1,0.5,3.3 ,90.4 ,149 ,33.4 ,151 ,35.2 ,197 ,"$74,541",85,"$76,770",125,38.8,,,,28,"304,118","159,066","124,249","285,997","145,147","133,888",100,51.4,45.9,"281,617","155,016","126,601",0,"297,301","152,133","145,168",0,"183,587","92,521","91,066",0,"141,241","132,050",,,,,"694,860","384,925","51,695","116,475","102,325","2,910","36,535","526,910","315,865","39,765","73,030","76,300","2,345","19,600","698,200","400,468","51,089","112,087","99,245","3,575","31,736","521,668","320,465","36,698","71,114","73,359","2,796","17,236","510,631","48,975","104,104","186,883","170,669","297,660","15,281","60,934","116,555","104,890"
California's 8th,CA-08,Republican,Paul,Cook,(PAWL KOOK),/pɔl kʊk/,2012,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,39.6,54.7,41.7,55.6,41.6,54.8,0.0,100.0,37.7,62.3,32.4,67.6,0.0,100.0,54.0,8.0,31.8,3.2,1.0,2.1,56.0,7.1,30.3,3.5,1.1,2.2 ,82.9 ,370 ,16.8 ,414 ,20.6 ,413 ,"$52,244",310,"$55,625",339,42.8,,,,29,"232,835","92,234","127,464","212,633","88,579","118,278",100,41.6,54.8,"170,785",0,"170,785",0,"220,007","83,035","136,972",0,"114,536","37,056","77,480",0,0,"179,644",,,,,"674,075","318,495","55,605","255,250","19,465","6,195","19,055","476,415","257,030","38,060","151,655","15,250","4,650","9,770","704,301","352,877","53,306","249,040","22,288","6,914","19,876","504,172","282,090","35,578","152,682","17,547","5,367","10,908","450,797","77,006","131,239","166,648","75,904","234,589","22,175","68,998","95,130","48,286"
California's 9th,CA-09,Democratic,Jerry,McNerney,(JAIR-ee mik-NER-nee),/'dʒɛ.ɹi mɪk.'nɜɹ.ni/,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,56.6,38.0,57.8,40.1,56.3,40.8,56.5,43.5,57.4,42.6,52.4,47.6,55.6,44.4,43.8,10.0,28.7,14.0,0.3,3.1,42.0,8.1,32.6,14.2,0.5,2.7 ,80.7 ,389 ,20.2 ,387 ,25.1 ,353 ,"$64,283",163,"$76,677",127,32.8,,,,30,"238,191","134,719","90,484","220,312","127,418","88,403",100,56.3,40.8,"200,763","113,414","87,349",0,"232,155","133,163","98,992",0,"121,204","63,475","57,729",0,"118,373","94,704",,,,,"672,555","253,115","65,155","233,040","92,530","1,895","26,820","472,835","207,205","47,470","135,810","66,200","1,420","14,730","702,985","259,204","58,406","261,012","96,447","3,180","24,736","498,183","209,238","40,215","162,433","70,555","2,460","13,282","478,173","92,174","126,896","162,605","96,498","191,412","15,318","51,517","76,480","48,097"
California's 10th,CA-10,Democratic,Josh,Harder,(JAHSH HAHR-der),/dʒɑʃ 'hɑɹ.dəɹ/,2018,1986,Man,White - Non-Hispanic,Christian - Protestant,No,Lost,48.5,45.5,50.6,47.0,49.9,47.2,52.3,47.7,48.3,51.7,43.9,56.1,47.3,52.7,53.2,3.6,32.6,7.3,0.5,2.6,51.8,3.3,34.8,6.9,0.6,2.6 ,80.0 ,398 ,17.6 ,410 ,22.1 ,399 ,"$62,837",176,"$68,315",193,41.5,,,,31,"239,680","116,335","109,145","215,113","108,923","101,160",100,49.9,47.2,"221,900","115,945","105,955",0,"241,141","116,470","124,671",0,"125,705","55,123","70,582",0,"98,934","110,265",,,,,"663,585","308,475","22,410","262,970","45,630","3,165","20,935","467,770","249,065","16,905","152,635","34,280","2,520","12,370","704,763","327,195","22,872","282,246","46,451","3,772","22,227","501,640","259,974","16,522","174,810","34,451","3,016","12,867","469,558","94,077","135,898","156,990","82,593","231,591","23,337","67,007","90,159","51,088"
California's 11th,CA-11,Democratic,Mark,DeSaulnier,(MARK duh-SOWN-yey),/mɑɹk də.'soʊn.jeɪ/,2014,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,71.5,22.7,67.6,30.0,68.8,28.4,74.1,25.9,72.1,27.9,67.3,32.7,69.7,30.3,55.8,9.0,17.3,13.8,0.2,3.8,52.3,8.8,22.1,13.7,0.3,2.8 ,88.3 ,248 ,44.1 ,53 ,56.5 ,36 ,"$88,762",37,"$106,958",21,24.3,,,,32,"312,568","223,559","70,869","301,134","203,699","90,226",100,68.8,28.4,"275,681","204,369","71,312",0,"298,209","214,868","83,341",0,"174,662","117,502","57,160",0,"200,743","87,136",,,,,"656,970","334,895","56,445","146,560","85,150","1,310","32,615","497,585","277,855","45,015","85,940","68,565","1,100","19,110","703,454","340,992","62,761","180,136","90,522","1,750","27,293","536,843","280,764","47,427","118,732","73,394","1,419","15,107","525,632","61,278","87,752","144,757","231,845","267,662","7,966","35,516","73,053","151,127"
California's 12th,CA-12,Democratic,Nancy,Pelosi,(NAN-see puh-LOH-see),/'næn.si pə.'loʊ.si/,1987 Special,1940,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,86.2,8.7,84.1,12.5,83.8,12.8,86.8,13.2,80.9,0.0,83.3,16.7,85.1,14.9,48.5,5.6,11.2,31.2,0.2,3.3,46.3,5.6,13.5,31.5,0.2,2.9 ,88.9 ,219 ,58.9 ,8 ,77.3 ,2 ,"$105,548",13,"$133,153",2,11.0,,,,33,"358,774","309,221","31,158","320,387","269,461","40,003",100,83.8,12.8,"317,072","275,292","41,780",0,"338,845","274,035",0,"64,810","192,264","160,067","32,197",0,"253,709","44,478",,,,,"660,715","305,305","37,420","85,295","200,930","1,220","30,540","565,460","274,265","31,420","63,575","176,365","1,130","18,705","704,634","309,837","41,248","103,420","223,176","1,649","25,304","614,229","284,283","34,401","83,033","193,448","1,507","17,557","607,566","67,263","71,257","111,416","357,630","278,516","4,802","16,293","42,054","215,367"
California's 13th,CA-13,Democratic,Barbara,Lee,(BAHR-bruh LEE),/'bɑɹ.bɹə li/,1998 Special,1946,Woman,Black - African-American,Christian - Baptist,No,Won,87.4,6.8,87.5,9.0,87.1,9.9,88.4,0.0,90.8,9.2,88.5,11.5,100.0,0.0,42.0,18.7,14.1,20.8,0.4,4.0,37.4,19.0,18.0,22.1,0.3,3.4 ,85.6 ,329 ,48.2 ,30 ,71.2 ,7 ,"$75,420",79,"$107,171",20,12.1,,,,34,"334,194","291,926","22,743","306,314","268,093","27,474",100,87.1,9.9,"294,837","260,580",0,"34,257","322,871","293,117","29,754",0,"190,431","168,491","21,940",0,"250,436",0,,,,,"652,935","250,940","119,675","117,465","127,050","2,575","35,230","518,345","217,505","97,015","72,995","107,655","2,280","20,890","702,076","240,266","134,641","146,220","148,205","2,015","30,729","561,936","210,024","106,546","100,941","123,914","1,673","18,838","534,544","77,181","76,593","122,987","257,783","206,961","5,667","16,183","37,784","147,327"
California's 14th,CA-14,Democratic,Jackie,Speier,(JAK-ee SPEER),/'dʒæ.ki spɪəɹ/,2008 Special,1950,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,76.9,18.2,74.2,23.6,73.4,23.6,79.2,20.8,80.9,19.1,76.7,23.3,78.9,21.1,41.2,3.4,17.8,34.5,0.2,2.9,39.3,3.4,22.0,32.4,0.2,2.7 ,88.4 ,247 ,47.4 ,33 ,56.9 ,33 ,"$107,681",10,"$121,639",7,17.8,,,,35,"297,743","229,008","54,229","269,882","200,343","63,589",100,73.4,23.6,"266,823","211,384","55,439",0,"286,447","231,630","54,817",0,"149,146","114,389","34,757",0,"203,828","54,455",,,,,"641,065","244,195","19,915","135,775","212,870",975,"27,345","499,150","205,850","17,175","88,840","172,210",775,"14,295","702,860","259,361","22,764","171,572","221,935","1,118","26,110","553,566","217,820","19,000","121,763","179,300",930,"14,753","542,106","63,117","85,076","136,792","257,121","201,165","7,131","26,958","52,581","114,495"
California's 15th,CA-15,Democratic,Eric,Swalwell,(AIR-ik SWAWL-wel),/'ɛ.ɹɪk 'swɔl.wɛl/,2012,1980,Man,White - Non-Hispanic,Christian - Protestant,No,Won,69.9,24.2,68.0,29.8,67.0,30.1,73.0,27.0,73.8,26.2,69.8,30.2,100.0,0.0,41.7,6.9,18.0,30.0,0.3,3.1,41.0,6.5,21.0,28.1,0.3,3.2 ,89.9 ,172 ,44.5 ,50 ,46.8 ,83 ,"$109,911",8,"$113,439",16,22.2,,,,36,"284,536","198,964","68,808","260,611","177,243","77,748",100,67.0,30.1,"243,929","177,989","65,940",0,"269,197","198,578","70,619",0,"142,904","99,756","43,148",0,"231,034",0,,,,,"656,705","244,000","42,800","138,825","200,490","2,025","28,555","483,610","201,510","33,415","86,840","145,070","1,665","15,110","703,021","264,503","45,726","164,646","196,110","1,912","30,124","525,308","215,417","33,904","110,392","147,403","1,477","16,715","535,295","53,912","103,162","139,908","238,313","193,426","8,109","35,052","59,762","90,503"
California's 16th,CA-16,Democratic,Jim,Costa,(JIM KAH-stuh),/dʒɪm 'kɑ.stə/,2004,1952,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,58.0,36.4,58.6,39.4,57.1,39.9,57.5,42.5,58.0,42.0,50.7,49.3,57.4,42.6,33.0,7.4,47.9,9.3,0.7,1.8,30.2,6.1,52.9,8.5,0.7,1.7 ,67.4 ,428 ,12.6 ,431 ,21.8 ,401 ,"$43,327",403,"$55,308",347,25.8,,,,37,"169,964","98,504","61,813","151,953","88,973","59,808",100,57.1,39.9,"142,959","82,266","60,693",0,"167,956","97,473","70,483",0,"91,220","46,277","44,943",0,"84,649","62,801",,,,,"616,160","161,045","39,225","345,075","55,110","3,280","12,425","402,445","132,985","29,655","192,650","37,295","2,685","7,180","703,467","176,602","40,783","408,115","60,491","4,226","13,250","478,738","144,747","28,987","253,034","40,776","3,203","7,991","425,867","138,861","106,682","126,767","53,557","123,017","14,683","34,743","46,789","26,802"
California's 17th,CA-17,Democratic,Ro,Khanna,(ROH KAH-nuh),/ɹoʊ 'kɑ.nə/,2016,1976,Man,Asian - Indian,Hindu,No,Won,73.9,20.5,71.9,25.5,68.6,27.6,75.3,24.7,100.0,0.0,100.0,0.0,73.5,26.5,32.5,3.0,15.1,46.5,0.3,2.7,30.0,2.4,15.6,49.3,0.2,2.5 ,91.5 ,102 ,57.0 ,11 ,52.8 ,48 ,"$125,675",2,"$117,010",11,15.3,,,,38,"248,695","183,801","50,926","227,806","163,862","58,193",100,68.6,27.6,"211,162","159,105","52,057",0,"233,192","233,192",0,0,"134,408","134,408",0,0,"159,392","57,336",,,,,"587,035","164,860","17,280","101,290","280,420","1,420","21,765","438,345","142,425","13,235","66,160","203,635","1,115","11,780","705,190","188,718","16,705","122,990","350,699","1,365","24,713","539,199","161,494","12,808","84,268","265,956",944,"13,729","546,442","46,621","79,967","108,551","311,303","141,277","5,752","21,951","38,939","74,635"
California's 18th,CA-18,Democratic,Anna,Eshoo,(AN-uh EH-shoo),/'æ.nə 'ɛ.ʃu/,1992,1942,Woman,White - Non-Hispanic,Christian - Chaldean Catholic,No,Won,73.4,20.2,68.2,28.9,69.8,26.9,74.5,25.5,71.1,28.9,67.8,32.2,70.5,29.5,63.7,2.1,11.7,19.5,0.2,2.9,61.1,2.0,15.0,19.2,0.2,2.5 ,93.8 ,22 ,62.7 ,3 ,65.6 ,14 ,"$129,821",1,"$134,480",1,21.9,,,,39,"335,138","246,015","67,808","319,615","218,082","92,457",100,69.8,26.9,"302,238","225,142","77,096",0,"323,930","230,460","93,470",0,"196,386","133,060","63,326",0,"212,831","89,103",,,,,"635,700","374,810","13,185","90,275","128,045","1,375","28,005","481,625","306,630","10,070","56,230","93,915","1,010","13,765","701,054","406,641","13,065","119,163","134,007","1,444","26,734","541,587","331,125","10,594","81,120","104,146","1,195","13,407","520,427","32,129","57,099","104,654","326,545","300,734","7,223","29,750","66,330","197,431"
California's 19th,CA-19,Democratic,Zoe,Lofgren,(ZOH LAWF-gren),/zoʊ 'lɔf.gɹɛn/,1994,1947,Woman,White - Non-Hispanic,Christian - Lutheran,No,Won,72.9,21.5,71.2,26.5,67.5,28.8,73.8,26.2,73.9,26.1,100.0,0.0,73.2,26.8,33.3,3.3,31.0,29.6,0.2,2.6,30.4,3.0,37.2,27.0,0.3,2.1 ,81.3 ,387 ,35.9 ,123 ,49.6 ,67 ,"$98,314",23,"$120,114",8,16.8,,,,40,"257,624","187,828","55,371","232,442","165,530","61,643",100,67.5,28.8,"220,319","162,496","57,823",0,"245,863","181,802","64,061",0,"127,788","127,788",0,0,"162,300","59,313",,,,,"644,080","186,025","18,975","237,930","178,355","1,390","21,405","473,610","157,800","15,585","146,740","140,080","1,170","12,235","700,886","189,148","19,865","290,200","181,245","1,917","18,511","521,393","158,639","15,729","193,759","140,784","1,517","10,965","507,857","94,753","95,259","135,525","182,320","150,401","7,694","22,295","45,887","74,525"
California's 20th,CA-20,Democratic,Jimmy,Panetta,(JIM-ee puh-NET-uh),/'dʒɪ.mi pə.'nɛ.ɾə/,2016,1969,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,70.4,23.2,70.9,26.2,71.4,25.6,81.4,0.0,70.8,29.2,75.2,0.0,74.1,25.9,53.3,2.6,34.9,6.0,0.3,2.9,44.9,2.2,44.4,6.0,0.4,2.1 ,75.7 ,415 ,27.8 ,248 ,45.2 ,93 ,"$69,872",121,"$84,159",85,29.2,,,,41,"256,538","180,486","59,573","238,341","168,956","62,427",100,71.4,25.6,"225,721","183,677",0,"42,044","255,791","180,980","74,811",0,"141,044","106,034",0,"35,010","172,996","60,566",,,,,"602,340","265,290","13,055","272,640","30,660","1,575","19,130","429,820","229,025","11,015","149,825","25,950","1,390","12,615","704,856","276,231","13,944","356,892","37,633","2,460","17,696","525,025","235,633","11,761","233,001","31,566","2,005","11,059","466,389","113,333","91,611","131,807","129,638","206,815","9,123","34,576","69,652","93,464"
California's 21st,CA-21,Democratic,T.J.,Cox,(TEE-jey KAHKS),/'ti.dʒeɪ kɑks/,2018,1963,Man,Asian - Filipino/Chinese,Christian - Roman Catholic,No,Lost,55.2,39.7,54.6,43.5,51.5,45.7,50.4,49.6,43.3,56.7,42.2,57.8,42.2,57.8,27.5,5.7,60.7,3.8,0.6,1.7,23.2,5.3,65.9,3.8,0.6,1.2 ,59.4 ,433 ,8.3 ,435 ,17.8 ,430 ,"$42,155",410,"$59,609",286,22.6,,,,42,"133,544","73,773","52,972","119,232","65,146","51,917",100,51.5,45.7,"113,616","57,239","56,377",0,"132,408","57,282","75,126",0,"79,377","33,470","45,907",0,"49,119","67,164",,,,,"560,215","117,325","25,480","388,310","17,485","2,960","8,655","350,035","96,120","20,040","212,415","13,400","2,100","5,960","700,644","134,972","31,296","497,434","23,677","3,702","9,563","473,659","110,029","24,960","312,130","18,103","2,713","5,724","411,751","167,045","109,743","100,616","34,347","88,057","12,181","26,491","33,703","15,682"
California's 22nd,CA-22,Republican,Devin,Nunes,(DEH-vin NOO-nis),/'dɛ.vɪn 'nu.nɪs/,2002,1973,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,42.6,52.1,41.6,56.6,42.3,55.3,47.3,52.7,32.4,67.6,28.0,72.0,38.1,61.9,49.3,3.1,37.6,7.7,0.5,1.8,48.0,2.8,39.4,7.4,0.6,1.8 ,81.4 ,384 ,24.9 ,297 ,32.6 ,231 ,"$59,240",203,"$70,990",176,33.2,,,,43,"240,137","102,292","125,089","221,278","92,005","125,213",100,42.3,55.3,"222,379","105,136","117,243",0,"234,966","76,211","158,755",0,"133,342","37,289","96,053",0,"81,555","132,386",,,,,"679,575","287,870","21,085","302,800","49,445","3,210","15,160","470,490","231,875","14,805","176,930","36,030","2,365","8,480","704,840","298,022","19,708","316,151","51,311","4,125","15,523","499,241","239,522","13,868","196,766","37,184","3,102","8,799","463,390","85,980","104,831","157,083","115,496","213,738","14,918","47,158","81,893","69,769"
